ID,NAME,LEVEL,SOURCEID,CATEGORYNAME,CATID,CAT2ID,CAT3ID,INVARIANCE,PCOUNTRY
2221729,sitepoint.com,,4,Computer,,,,2,
2221730,validator.w3.org,,4,Computer,,,,2,
2221731,phim88.com,,4,Pornography,,,,2,
2221732,jpg.ch,,4,Pornography,,,,2,
2221733,sevenload.com,,4,Pornography,,,,2,
2221734,dealtime.com,,4,Shopping,,,,2,
2221735,feeds.feedburner.com,,4,News,,,,2,
2221736,sexaa.org,,4,Health,,,,2,
,,,,,,,,,
2221737,topshareware.com,,4,Computer,,,,2,
2221738,bernergesundheit.ch,,4,Health,,,,2,
2221739,cyberlord.at,,4,Health,,,,2,
2221740,hilferuf.de,,4,Health,,,,2,
2221741,jesus.ch,,4,Christian,,,,2,
2221742,kress.de,,4,News,,,,2,
2221743,liberty4you.ch,,4,Health,,,,2,
2221744,livenet.ch,,4,Christian,,,,2,
2221745,mail.yahoo.com,,4,Web Mail,,,,2,
2221746,no-porn.com,,4,Health,,,,2,
2221747,onlinesucht.de,,4,Health,,,,2,
2221748,opendns.com,,4,Computer,,,,2,
2221749,perl-seiten.privat.t-online.de,,4,Computer,,,,2,
2221750,pornsunday.com,,4,Health,,,,2,
2221751,porno-frei.ch,,4,Health,,,,2,
2221752,sex-sos.net,,4,Health,,,,2,
2221753,shelleylubben.com,,4,Health,,,,2,
2221754,shg-pornographieabhaengigkeit.at,,4,Health,,,,2,
2221755,shg-pornographieabhaengigkeit.ch,,4,Health,,,,2,
2221756,shg-pornographieabhaengigkeit.de,,4,Health,,,,2,
2221757,slaa.de,,4,Health,,,,2,
2221758,venezuelafx.blogspot.com,,4,Blogging,,,,4,
2221759,xxxchurch.com,,4,Health,,,,2,
2221760,xxxchurch.org,,4,Health,,,,2,
